N° Euro Palets;N° Normal Palets;Products;Reference;Customer;Destination;Comment;Gross weight (kg);Price (EUR);Price BCN (EUR);Unit;Reloading/plt;Transport BCN/plt;Albarán N°;Car n.;Loading date;Loading place;Order number;Transport company;Plate number;Transport price;Arrival date;Invoice N°;Invoice amount;Payment date;Open invoices;Paid invoices
2;;SPAR CRO 001;KOPFSALAT;KOPFSALAT;SPAR CRO 001;WEDNESDAY MORNING;;;;;;;;;2019.08.31;LLERIDA;GHU 001;WINDBAHN;NCV 672 / WAM 672;€ 2 300;2019.09.04;;;; -   € ;   
16;;SPAR CRO;CASAS ROYES;CASAS ROYES;SPAR CRO;WEDNESDAY MORNING;;;;;;;;;2019.08.31;LLERIDA;GHU 001;WINDBAHN;NCV 672 / WAM 672;€ 2 300;2019.09.04;;;; -   € ;   
4;;SPAR CRO;AGESCO;AGESCO;SPAR CRO;WEDNESDAY MORNING;;;;;;;;;2019.08.31;LLERIDA;GHU 001;WINDBAHN;NCV 672 / WAM 672;€ 2 300;2019.09.04;;;; -   € ;   
7;;SPAR HU;GRUPO NATURAL;GRUPO NATURAL;SPAR HU;WEDNESDAY NIGHT;;;;;;;;;2019.08.31;LLERIDA;GHU 001;WINDBAHN;NCV 672 / WAM 672;€ 2 300;2019.09.04;;;; -   € ;   
1;;FRAMBUESA;FRESSAN;GHU;ALDI;216#;nettó 324;€ 8,25;;KG;;;;;2019.08.31;LLERIDA;GHU 001;WINDBAHN;NCV 672 / WAM 672;€ 2 300;2019.09.04;;;; -   € ;   
;2;APRICOT;KOPFSALAT;GHU;;;;;;;;;;;2019.08.31;LLERIDA;GHU 001;WINDBAHN;NCV 672 / WAM 672;€ 2 300;2019.09.04;;;; -   € ;   
5;;PEAR;FRUBALMED;GHU;ALDI;;;€ 0,82;;KG;;;146/AL19;;2019.09.02;LLERIDA;H001;KUONI;MGU 904 / XWF 658;€ 2 200;2019.09.05;;;; -   € ;   
24;;PARAGUAYO;FRUBALMED;GHU;ALDI;;;€ 0,75;;KG;;;146/AL19;;2019.09.02;LLERIDA;H001;KUONI;MGU 904 / XWF 658;€ 2 200;2019.09.05;;;; -   € ;   
;1;NECTARINA;FRUBALMED;GHU;ZSOLTI;;;€ 0,45;;KG;;;146/AL19;;2019.09.02;LLERIDA;H001;KUONI;MGU 904 / XWF 658;€ 2 200;2019.09.05;;;; -   € ;   
;2;NECTARINA;FRUBALMED;GHU;;;;;;;;;146/AL19;;2019.09.02;LLERIDA;H001;KUONI;MGU 904 / XWF 658;€ 2 200;2019.09.05;;;; -   € ;   
3;;SPAR CRO 002;KOPFSALAT;KOPFSALAT;SPAR CRO 002;FRIDAY MORNING;;;;;;;;;2019.09.03;LLERIDA;GHU 002;KUONI;NUX 982 / WCW 983;€ 2 400;2019.09.06;;;; -   € ;   
16;;SPAR CRO;CASAS ROYES;CASAS ROYES;SPAR CRO;ALDI;;;;;;;;;2019.09.03;LLERIDA;GHU 002;KUONI;NUX 982 / WCW 983;€ 2 400;2019.09.06;;;; -   € ;   
3;;SPAR CRO;AGESCO;AGESCO;SPAR CRO;FRIDAY MORNING;;;;;;;;;2019.09.03;LLERIDA;GHU 002;KUONI;NUX 982 / WCW 983;€ 2 400;2019.09.06;;;; -   € ;   
2;;FRAMBUESA;FRESSAN;GHU;ALDI;;;€ 8,25;;KG;;;;;2019.09.03;LLERIDA;GHU 002;KUONI;NUX 982 / WCW 983;€ 2 400;2019.09.06;;;; -   € ;   
;2;GARLIC 200GR;GALLARDO;GHU;ALDI;;;€ 0,55;;KG;€ 8,50;;;;2019.09.03;LLERIDA;GHU 002;KUONI;NUX 982 / WCW 983;€ 2 400;2019.09.06;;;; -   € ;   
;2;APRICOT;KOPFSALAT;GHU;;;;;;;;;;;2019.09.03;LLERIDA;GHU 002;KUONI;NUX 982 / WCW 983;€ 2 400;2019.09.06;;;; -   € ;   
;1;PARAGUAYO;KOPFSALAT;GHU;;;;;;;;;;;2019.09.03;LLERIDA;GHU 002;KUONI;NUX 982 / WCW 983;€ 2 400;2019.09.06;;;; -   € ;   
2;;POMEGRANATE;FRUBALMED;GHU;ALDI;;;€ 1,90;;KG;€ 8,50;€ 35,00;;;2019.09.03;LLERIDA;GHU 002;KUONI;NUX 982 / WCW 983;€ 2 400;2019.09.06;;;; -   € ;   
3;;SPAR HU 001;KOPFSALAT;KOPFSALAT;SPAR HU 001;MONDAY NIGHT;;;;;;;;;2019.09.05;LLERIDA;GHU 003;KUONI;NBA 324 / XZM 785;€ 2 400;2019.09.08;;;; -   € ;   
3;;SPAR HU 002;KOPFSALAT;KOPFSALAT;SPAR HU 002;MONDAY NIGHT;;;;;;;;;2019.09.05;LLERIDA;GHU 003;KUONI;NBA 324 / XZM 785;€ 2 400;2019.09.08;;;; -   € ;   
6;;SPAR HU;AGESCO;AGESCO;SPAR HU;MONDAY NIGHT;;;;;;;;;2019.09.05;LLERIDA;GHU 003;KUONI;NBA 324 / XZM 785;€ 2 400;2019.09.08;;;; -   € ;   
;2;GARLIC 200GR;GALLARDO;GHU;ALDI;;;€ 0,55;;KG;€ 8,50;;;;2019.09.05;LLERIDA;GHU 003;KUONI;NBA 324 / XZM 785;€ 2 400;2019.09.08;;;; -   € ;   
2;;POMEGRANATE;FRUBALMED;GHU;ALDI;;;€ 1,90;;KG;€ 8,50;€ 35,00;;;2019.09.05;LLERIDA;GHU 003;KUONI;NBA 324 / XZM 785;€ 2 400;2019.09.08;;;; -   € ;   
;3;TOM. CHERRY;HORTICHUELAS;SZENTESI;;;;;;;;;;;2019.09.05;LLERIDA;GHU 003;KUONI;NBA 324 / XZM 785;€ 2 400;2019.09.08;;;; -   € ;   
;6;PEAR;KOPFSALAT;GHU;ALDI;;;;;;;;;;2019.09.05;LLERIDA;GHU 003;KUONI;NBA 324 / XZM 785;€ 2 400;2019.09.08;;;; -   € ;   
;4;PARAGUAYO;KOPFSALAT;GHU;ALDI;;;;;;;;;;2019.09.05;LLERIDA;GHU 003;KUONI;NBA 324 / XZM 785;€ 2 400;2019.09.08;;;; -   € ;   
31;;SPAR HU;CASAS ROYES;CASAS ROYES;SPAR HU;MONDAY NIGHT;;;;;;;;;2019.09.05;LLERIDA;H002;VASKÓ;PHX 343 / WAF 683;€ 2 300;2019.09.09;;;; -   € ;   
1;;SPAR CRO 003;KOPFSALAT;KOPFSALAT;SPAR CRO 003;MONDAY MORNING;;;;;;;;;2019.09.05;LLERIDA;H002;VASKÓ;PHX 343 / WAF 683;€ 2 300;2019.09.09;;;; -   € ;   
1;;FRAMBUESA;FRESSAN;GHU;ALDI;;;€ 8,25;;KG;;;;;2019.09.05;LLERIDA;H002;VASKÓ;PHX 343 / WAF 683;€ 2 300;2019.09.09;;;; -   € ;   
10;;SPAR SLO;GRUPO NATURAL;GRUPO NATURAL;SPAR SLO;MONDAY MORNING;;;;;;;;;2019.09.06;BARCELONA;GHU 004;WINDBAHN;NSE 946 / WBG 946;€ 900;2019.09.09;;;; -   € ;   
