N° Euro Palets;N° Normal Palets;Products;Reference;Customer;Destination;Comment;Gross weight (kg);Price (EUR);Price BCN (EUR);Unit;Reloading/plt;Transport BCN/plt;Albarán N°;Car n.;Loading date;Loading place;Order number;Transport company;Plate number;Transport price;Arrival date;Invoice N°;Invoice amount;Payment date;Open invoices;Paid invoices;;;;;;;;;;;
3,5;;SPAR HU BICSKE ;AGESCO;AGESCO;SPAR HU BICSKE ;SATURDAY NIGHT;;;;;;;;;2020.09.01;LERIDA;GHU 001;SERGIO;SB 16 HRM / R 2533 BCZ;€ 2 400;2020.09.04;;;; -   € ;   ;;;;;;;;;;;
4,5;;SPAR HU ÜLLŐ ;AGESCO;AGESCO;SPAR HU ÜLLŐ ;SATURDAY NIGHT;;;;;;;;;2020.09.01;LERIDA;GHU 001;SERGIO;SB 16 HRM / R 2533 BCZ;€ 2 400;2020.09.04;;;; -   € ;   ;;;;;;;;;;;
6;;SPAR CRO;CASAS ROYES;CASAS ROYES;SPAR CRO;FRIDAY MORNING;;;;;;;;;2020.09.01;LERIDA;GHU 001;SERGIO;SB 16 HRM / R 2533 BCZ;€ 2 400;2020.09.04;;;; -   € ;   ;;;;;;;;;;;
1;;SPAR CRO;GRUPO NATURAL;GRUPO NATURAL;SPAR CRO;FRIDAY MORNING;;;;;;;;;2020.09.01;LERIDA;GHU 001;SERGIO;SB 16 HRM / R 2533 BCZ;€ 2 400;2020.09.04;;;; -   € ;   ;;;;;;;;;;;
;4;PEAR LIMONERA;FRUBALMED;GHU;ALDI;TUESDAY UP LERIDA;;€ 0,90;;KG;€ 0,00;;FRU001- 198/AL20;1;2020.09.01;LERIDA;GHU 001;SERGIO;SB 16 HRM / R 2533 BCZ;€ 2 400;2020.09.04;;;; -   € ;   ;;;;;;;;;;;
1;;RASPBERRY;FRESSAN;GHU;ALDI;WEDNESDAY UP BARCELONA;;;€ 8,00;KG;€ 8,50;;;2;2020.09.01;LERIDA;GHU 001;SERGIO;SB 16 HRM / R 2533 BCZ;€ 2 400;2020.09.04;;;; -   € ;   ;;;;;;;;;;;
;3;POMEGRANATE;KOPFSALAT;GHU;ALDI/GHUBU;;;;;;;;;;2020.09.01;LERIDA;GHU 001;SERGIO;SB 16 HRM / R 2533 BCZ;€ 2 400;2020.09.04;;;; -   € ;   ;;;;;;;;;;;
;4;PARAGUAYO;KOPFSALAT;GHU;ALDI;;;;;;;;;;2020.09.01;LERIDA;GHU 001;SERGIO;SB 16 HRM / R 2533 BCZ;€ 2 400;2020.09.04;;;; -   € ;   ;;;;;;;;;;;
;1;LIMON;KOPFSALAT;GHU;ALDI;;;;;;;;;;2020.09.01;LERIDA;GHU 001;SERGIO;SB 16 HRM / R 2533 BCZ;€ 2 400;2020.09.04;;;; -   € ;   ;;;;;;;;;;;
;1;PEAR LIMONERA;KOPFSALAT;GHU;ALDI;;;;;;;;;;2020.09.01;LERIDA;GHU 001;SERGIO;SB 16 HRM / R 2533 BCZ;€ 2 400;2020.09.04;;;; -   € ;   ;;;;;;;;;;;
4;;SPAR CRO;CASAS ROYES;CASAS ROYES;SPAR CRO;MONDAY MORNING; SIGR ;;;;;;;;2020.09.03;LERIDA;LOG001;KÓNYA;RGV 950 / WCG 914;€ 2 400;2020.09.06;;;; -   € ;   ;;;;;;;;;;;
1;;SPAR HU BICSKE ;CASAS ROYES;CASAS ROYES;SPAR HU BICSKE ;MONDAY NIGHT; E20090444E648A4 ;;;;;;;;2020.09.03;LERIDA;LOG001;KÓNYA;RGV 950 / WCG 914;€ 2 400;2020.09.06;;;; -   € ;   ;;;;;;;;;;;
2;;SPAR HU ÜLLŐ ;CASAS ROYES;CASAS ROYES;SPAR HU ÜLLŐ ;MONDAY NIGHT; E20090444E648A4 ;;;;;;;;2020.09.03;LERIDA;LOG001;KÓNYA;RGV 950 / WCG 914;€ 2 400;2020.09.06;;;; -   € ;   ;;;;;;;;;;;
1;;SPAR HU BICSKE 001;KOPFSALAT;KOPFSALAT;SPAR HU BICSKE 001;MONDAY NIGHT;;;;;;;;;2020.09.03;LERIDA;LOG001;KÓNYA;RGV 950 / WCG 914;€ 2 400;2020.09.06;;;; -   € ;   ;;;;;;;;;;;
1;;SPAR HU ÜLLŐ 002;KOPFSALAT;KOPFSALAT;SPAR HU ÜLLŐ 002;MONDAY NIGHT;;;;;;;;;2020.09.03;LERIDA;LOG001;KÓNYA;RGV 950 / WCG 914;€ 2 400;2020.09.06;;;; -   € ;   ;;;;;;;;;;;
3;;SPAR HU BICSKE ;AGESCO;AGESCO;SPAR HU BICSKE ;MONDAY NIGHT;;;;;;;;;2020.09.03;LERIDA;LOG001;KÓNYA;RGV 950 / WCG 914;€ 2 400;2020.09.06;;;; -   € ;   ;;;;;;;;;;;
4;;SPAR HU ÜLLŐ ;AGESCO;AGESCO;SPAR HU ÜLLŐ ;MONDAY NIGHT;;;;;;;;;2020.09.03;LERIDA;LOG001;KÓNYA;RGV 950 / WCG 914;€ 2 400;2020.09.06;;;; -   € ;   ;;;;;;;;;;;
5;;TESCO HU 001;KOPFSALAT;KOPFSALAT;TESCO HU 001;SUNDAY ; 2 772    ;;;;;;AGESCO 160;;2020.09.03;LERIDA;LOG001;KÓNYA;RGV 950 / WCG 914;€ 2 400;2020.09.06;;;; -   € ;   ;;;;;;;;;;;
4;;TESCO HU 002;KOPFSALAT;KOPFSALAT;TESCO HU 002;MONDAY; 1 997    ;;;;;;AGESCO 160;;2020.09.03;LERIDA;LOG001;KÓNYA;RGV 950 / WCG 914;€ 2 400;2020.09.06;;;; -   € ;   ;;;;;;;;;;;
3;;TESCO HU 003;KOPFSALAT;KOPFSALAT;TESCO HU 003;TUESDAY; 2 197    ;;;;;;AGESCO 160;;2020.09.03;LERIDA;LOG001;KÓNYA;RGV 950 / WCG 914;€ 2 400;2020.09.06;;;; -   € ;   ;;;;;;;;;;;
10;;NECTARINE;AGESCO;AGESCO;DA005 SPAR SLO RECHAZO;;;;;;;;V/C20/156;;2020.09.03;LJUBLJANA;LOG002;V & B CARGO;LJ 43 TDA / LJ 183 KZ;€ 650;2020.09.04;;;; -   € ;   ;;;;;;;;;;;
;2;TOM CHERRY;HORTICHUELAS;SZENTESI;SZENTESI;FRIDAY UP BARCELONA;;;;;;;;;2020.09.04;BARCELONA;GHU 002;KÓNYA;RCG 082 / WED 152;€ 2 200;2020.09.06;;;; -   € ;   ;;;;;;;;;;;
0,5;;MANGO 12PZS;AXARFRUIT;GHU;PARTNERLOG/GHUBU;FRIDAY UP BARCELONA;;;€ 4,10;CAJA;;;AXA001-6538;2;2020.09.04;BARCELONA;GHU 002;KÓNYA;RCG 082 / WED 152;€ 2 200;2020.09.06;;;; -   € ;   ;;;;;;;;;;;
0,2;;AVOCADO STD;AXARFRUIT;GHU;PARTNERLOG/GHUBU;FRIDAY UP BARCELONA;;;€ 1,23;KG;;;AXA001-6538;2;2020.09.04;BARCELONA;GHU 002;KÓNYA;RCG 082 / WED 152;€ 2 200;2020.09.06;;;; -   € ;   ;;;;;;;;;;;
0,3;;AVOCADO 22PZS;AXARFRUIT;GHU;PARTNERLOG/GHUBU;FRIDAY UP BARCELONA;;;€ 11,30;CAJA;;;AXA001-6538;2;2020.09.04;BARCELONA;GHU 002;KÓNYA;RCG 082 / WED 152;€ 2 200;2020.09.06;;;; -   € ;   ;;;;;;;;;;;
3;;POMEGRANADE 12PZS;FRUBALMED;GHU;ALDI;THURSDAY UP TARRAGONA;;€ 6,00;;CAJA;;;FRU002-200/AL20;1;2020.09.04;BARCELONA;GHU 002;KÓNYA;RCG 082 / WED 152;€ 2 200;2020.09.06;;;; -   € ;   ;;;;;;;;;;;
3;;PEAR LIMONERA 6KG;FRUBALMED;GHU;ALDI;THURSDAY UP LERIDA;;€ 0,90;;KG;;;FRU002-199/AL20;1;2020.09.04;BARCELONA;GHU 002;KÓNYA;RCG 082 / WED 152;€ 2 200;2020.09.06;;;; -   € ;   ;;;;;;;;;;;
;1;PARAGUAYO;KOPFSALAT;GHU;ALDI;;;;;;;;;;2020.09.04;BARCELONA;GHU 002;KÓNYA;RCG 082 / WED 152;€ 2 200;2020.09.06;;;; -   € ;   ;;;;;;;;;;;
;3;LIMON;KOPFSALAT;GHU;GHUBU;;;;;;;;;;2020.09.04;BARCELONA;GHU 002;KÓNYA;RCG 082 / WED 152;€ 2 200;2020.09.06;;;; -   € ;   ;;;;;;;;;;;
;3;APRICOT;KOPFSALAT;GHU;ALDI/GHUBU;;;;;;;;;;2020.09.04;BARCELONA;GHU 002;KÓNYA;RCG 082 / WED 152;€ 2 200;2020.09.06;;;; -   € ;   ;;;;;;;;;;;
;2;NECTARINA FUSION;KOPFSALAT;GHU;GHUBU/GHUSZ;;;;;;;;;;2020.09.04;BARCELONA;GHU 002;KÓNYA;RCG 082 / WED 152;€ 2 200;2020.09.06;;;; -   € ;   ;;;;;;;;;;;
;2;LETTUCE ICEBERG;KOPFSALAT;GHU;GHUBU/GHUSZ;;;;;;;;;;2020.09.04;BARCELONA;GHU 002;KÓNYA;RCG 082 / WED 152;€ 2 200;2020.09.06;;;; -   € ;   ;;;;;;;;;;;
;1;PEAR LIMONERA;KOPFSALAT;GHU;ALDI;;;;;;;;;;2020.09.04;BARCELONA;GHU 002;KÓNYA;RCG 082 / WED 152;€ 2 200;2020.09.06;;;; -   € ;   ;;;;;;;;;;;
;1;GRAPE;KOPFSALAT;GHU;GHUSZ;;;;;;;;;;2020.09.04;BARCELONA;GHU 002;KÓNYA;RCG 082 / WED 152;€ 2 200;2020.09.06;;;; -   € ;   ;;;;;;;;;;;
4;;SPAR CRO;CASAS ROYES;CASAS ROYES;SPAR CRO;WEDNESDAY MORNING;;;;;;;;;2020.09.05;LERIDA;GHU 003;KÓNYA;RSJ 407 / WDA 628;€ 2 400;2020.09.09;;;; -   € ;   ;;;;;;;;;;;
