N° Euro Palets;N° Normal Palets;Products;Reference;Customer;Destination;Comment;Gross weight (kg);Price (EUR);Price BCN (EUR);Unit;Reloading/plt;Transport BCN/plt;Albarán N°;Car n.;Loading date;Loading place;Order number;Transport company;Plate number;Transport price;Arrival date;Transport cost;Invoice amount;Payment date;Open invoices;Paid invoices;;;;;;;;;;;
;9;LEMON;AZAFAMA;GHU;ALDI; FRIDAY UP BARCELONA ;;€ 1,10;;KG;;;AZA004-FT9/1436;;2021.08.27;BARCELONA;H001;PANNON;NBT 333 / WEX 038;€ 2 000;2021.08.29;;;; -   € ;   ;;;;;;;;;;;
;5;LEMON;AZAFAMA;GHU;ALDI;FRIDAY UP BARCELONA;;€ 1,20;;KG;;;AZA004-FT9/1436;;2021.08.27;BARCELONA;H001;PANNON;NBT 333 / WEX 038;€ 2 000;2021.08.29;;;; -   € ;   ;;;;;;;;;;;
;4;GARLIC;AZAFAMA;GHU;GHUBU/GHUSZ;FRIDAY UP BARCELONA;;€ 2,00;;KG;;;AZA004-FT9/1436;;2021.08.27;BARCELONA;H001;PANNON;NBT 333 / WEX 038;€ 2 000;2021.08.29;;;; -   € ;   ;;;;;;;;;;;
6;;SPAR HU BICSKE ;CASAS ROYES;CASAS ROYES;SPAR HU BICSKE ;WEDNESDAY NIGHT;;;;;;;;;2021.08.28;LERIDA;H002;KÓNYA;SHB 850 / WEH 573;€ 2 200;2021.08.31;;;; -   € ;   ;;;;;;;;;;;
;8;PEAR 9KG;FRUBALMED;GHU;ALDI;SATURDAY UP LERIDA;;€ 0,75;;KG;;;FRU151-167/AL21;;2021.08.28;LERIDA;H002;KÓNYA;SHB 850 / WEH 573;€ 2 200;2021.08.31;;;; -   € ;   ;;;;;;;;;;;
5;;NECTARIN 10*1KG;FRUBALMED;GHU;ALDI;SATURDAY UP LERIDA;;€ 0,95;;PZS;;;FRU151-167/AL21;;2021.08.28;LERIDA;H002;KÓNYA;SHB 850 / WEH 573;€ 2 200;2021.08.31;;;; -   € ;   ;;;;;;;;;;;
2;;PEACH 10*1KG;FRUBALMED;GHU;ALDI;SATURDAY UP LERIDA;;€ 0,90;;PZS;;;FRU151-167/AL21;;2021.08.28;LERIDA;H002;KÓNYA;SHB 850 / WEH 573;€ 2 200;2021.08.31;;;; -   € ;   ;;;;;;;;;;;
2;;NECTARIN 7KG;FRUBALMED;GHU;ALDI;SATURDAY UP LERIDA;;€ 1,30;;KG;;;FRU151-167/AL21;;2021.08.28;LERIDA;H002;KÓNYA;SHB 850 / WEH 573;€ 2 200;2021.08.31;;;; -   € ;   ;;;;;;;;;;;
2;;PEACH 7KG;FRUBALMED;GHU;ALDI;SATURDAY UP LERIDA;;€ 1,15;;KG;;;FRU151-167/AL21;;2021.08.28;LERIDA;H002;KÓNYA;SHB 850 / WEH 573;€ 2 200;2021.08.31;;;; -   € ;   ;;;;;;;;;;;
;2,3;PEACH STD;FRUBALMED;GHU;ALDI/GHUBU/GHUSZ;SATURDAY UP LERIDA;;€ 0,57;;KG;;;FRU151-167/AL21;;2021.08.28;LERIDA;H002;KÓNYA;SHB 850 / WEH 573;€ 2 200;2021.08.31;;;; -   € ;   ;;;;;;;;;;;
;1;NECTARIN STD;FRUBALMED;GHU;ALDI/GHUBU/GHUSZ; SATURDAY UP LERIDA ;;€ 0,57;;KG;;;FRU151-167/AL21;;2021.08.28;LERIDA;H002;KÓNYA;SHB 850 / WEH 573;€ 2 200;2021.08.31;;;; -   € ;   ;;;;;;;;;;;
1;;SPAR SLO 023;KOPFSALAT;KOPFSALAT;SPAR SLO 023;WEDNESDAY MORNING;;;;;;;;;2021.08.28;LERIDA;LOG001;SERGIO;SB 85 HNL / SB 06 HNL;€ 2 400;2021.09.01;;;; -   € ;   ;;;;;;;;;;;
;25;SPAR SLO;CASAS ROYES;CASAS ROYES;SPAR SLO;WEDNESDAY MORNING;;;;;;;;;2021.08.28;LERIDA;LOG001;SERGIO;SB 85 HNL / SB 06 HNL;€ 2 400;2021.09.01;;;; -   € ;   ;;;;;;;;;;;
9;4;SPAR SLO;GRUPO NATURAL;GRUPO NATURAL;SPAR SLO;WEDNESDAY MORNING;;;;;€ 72,00; € 120,00 ;DG69;;2021.08.28;LERIDA;LOG002;RONI;ROG 178 / WDN 429;€ 2 400;2021.09.01;;;; -   € ;   ;;;;;;;;;;;
2;;DG69 SLO;DG69;DG69;DG69 SLO;WEDNESDAY;;;;;€ 0,00; € -   ;DG69;;2021.08.28;LERIDA;LOG002;RONI;ROG 178 / WDN 429;€ 2 400;2021.09.01;;;; -   € ;   ;;;;;;;;;;;
7;;SPAR CRO 144;KOPFSALAT;KOPFSALAT;SPAR CRO 144;WEDNESDAY MORNING;;;;;€ 0,00; € -   ;SPAR;;2021.08.28;LERIDA;LOG002;RONI;ROG 178 / WDN 429;€ 2 400;2021.09.01;;;; -   € ;   ;;;;;;;;;;;
6;;SPAR CRO;CASAS ROYES;CASAS ROYES;SPAR CRO;WEDNESDAY MORNING;;;;;€ 0,00; € -   ;SPAR;;2021.08.28;LERIDA;LOG002;RONI;ROG 178 / WDN 429;€ 2 400;2021.09.01;;;; -   € ;   ;;;;;;;;;;;
4;;SPAR HU BICSKE ;CASAS ROYES;CASAS ROYES;SPAR HU BICSKE ;WEDNESDAY NIGHT;;;;;;;;;2021.08.28;LERIDA;LOG002;RONI;ROG 178 / WDN 429;€ 2 400;2021.09.01;;;; -   € ;   ;;;;;;;;;;;
5;;SPAR CRO 001;KOPFSALAT;KOPFSALAT;SPAR CRO 001;FRIDAY MORNING;;;;;;;;;2021.08.31;LERIDA;GHU 001;SERGIO;SB 21 HRM / SB 01 HRM;€ 2 400;2021.09.03;;;; -   € ;   ;;;;;;;;;;;
6;;SPAR CRO;CASAS ROYES;CASAS ROYES;SPAR CRO;FRIDAY MORNING;;;;;;;;;2021.08.31;LERIDA;GHU 001;SERGIO;SB 21 HRM / SB 01 HRM;€ 2 400;2021.09.03;;;; -   € ;   ;;;;;;;;;;;
2;;SPAR CRO;AGESCO;AGESCO;SPAR CRO;FRIDAY MORNING;;;;;;;;;2021.08.31;LERIDA;GHU 001;SERGIO;SB 21 HRM / SB 01 HRM;€ 2 400;2021.09.03;;;; -   € ;   ;;;;;;;;;;;
