N° Euro Palets;N° Normal Palets;Products;Reference;Customer;Destination;Comment;Gross weight (kg);Price (EUR);Price BCN (EUR);Unit;Reloading/plt;Transport BCN/plt;Albarán N°;Car n.;Loading date;Loading place;Order number;Transport company;Plate number;Transport price;Arrival date;Transport cost;Invoice amount;Payment date;Open invoices;Paid invoices
4;;CAPSICUM KAPIA 10*500GR;GHU;VILLAFRUT;BÉCS; LOT-3506 ;;;;;;;;;2023.09.01;FELSŐPAKONY;EX001;FER TRANS;PNW 590 / WFA 692;€ 500;2023.09.02;-€ 500;;; -   € ;   
7;;CAPSICUM CORNO WHITE I 10*500GR;GHU;VILLAFRUT;BÉCS;LOT-3506;;;;;;;;;2023.09.01;FELSŐPAKONY;EX001;FER TRANS;PNW 590 / WFA 692;€ 500;2023.09.02;;;; -   € ;   
2;1;LIVIU;KOPFSALAT;KOPFSALAT;LIVIU;;;;;;;;;;2023.09.01;LERIDA;GHU 003;KÓNYA;AA DD 062 / WGB 781;€ 2 650;2023.09.04;-€ 2 950;;; -   € ;   
2;;SPAR HU BICSKE ;CASAS ROYES;CASAS ROYES;SPAR HU BICSKE ;;;;;;;;;;2023.09.01;LERIDA;GHU 003;KÓNYA;AA DD 062 / WGB 781;€ 2 650;2023.09.04;;;; -   € ;   
3;;SPAR HU BICSKE;FRUBALMED;FRUBALMED;SPAR HU BICSKE ;;;;;;;;;;2023.09.01;LERIDA;GHU 003;KÓNYA;AA DD 062 / WGB 781;€ 2 650;2023.09.04;;;; -   € ;   
1;;SPAR HU ÜLLŐ;FRUBALMED;FRUBALMED;SPAR HU ÜLLŐ;;;;;;;;;;2023.09.01;LERIDA;GHU 003;KÓNYA;AA DD 062 / WGB 781;€ 2 650;2023.09.04;;;; -   € ;   
3;;SPAR HU BICSKE;FRUBALMED;FRUBALMED;SPAR HU BICSKE ;;;;;;;;;;2023.09.01;LERIDA;GHU 003;KÓNYA;AA DD 062 / WGB 781;€ 2 650;2023.09.04;;;; -   € ;   
2;;SPAR HU ÜLLŐ;FRUBALMED;FRUBALMED;SPAR HU ÜLLŐ;;;;;;;;;;2023.09.01;LERIDA;GHU 003;KÓNYA;AA DD 062 / WGB 781;€ 2 650;2023.09.04;;;; -   € ;   
6;;CELERY 6*500GR IFCO;HISPA;GHU;ALDI;SATURDAY UP BARCELONA;;€ 0,68;;PZS;€ 10,00; € -   ;HIS3-038/012400006;1;2023.09.01;LERIDA;GHU 003;KÓNYA;AA DD 062 / WGB 781;€ 2 650;2023.09.04;;;; -   € ;   
4;;PARAGUAYO LOOSE 5KG;FRUBALMED;GHU;ALDI;SATURDAY UP BARCELONA; CASAS ;€ 1,00;;KG;€ 11,50; € -   ;FRU3-1278/AL23;2;2023.09.01;LERIDA;GHU 003;KÓNYA;AA DD 062 / WGB 781;€ 2 650;2023.09.04;;;; -   € ;   
