N° Euro Palets;N° Normal Palets;Products;Reference;Customer;Destination;Comment;Gross weight (kg);Price (EUR);Price BCN (EUR);Unit;Reloading/plt;Transport BCN/plt;Albarán N°;Car n.;Loading date;Loading place;Order number;Transport company;Plate number;Transport price;Arrival date;Transport cost;Invoice amount;Payment date;Open invoices;Paid invoices
1;;SPAR HU ÜLLŐ ;CASAS ROYES;CASAS ROYES;SPAR HU ÜLLŐ ; MONDAY NIGHT ;;;;;;;;;2024.08.29;LERIDA;GHU 001;KÓNYA;AA DD 061 / AA ID 878;€ 2 700;2024.09.01;-€ 3 000;;; -   € ;   
9;;SPAR HU BICSKE ;CASAS ROYES;CASAS ROYES;SPAR HU BICSKE ;MONDAY NIGHT;;;;;;;;;2024.08.29;LERIDA;GHU 001;KÓNYA;AA DD 061 / AA ID 878;€ 2 700;2024.09.01;;;; -   € ;   
3;;SPAR HU ÜLLŐ ;FRUBALMED;FRUBALMED;SPAR HU ÜLLŐ ;MONDAY NIGHT; SERVETO ;;;;;;;;2024.08.29;LERIDA;GHU 001;KÓNYA;AA DD 061 / AA ID 878;€ 2 700;2024.09.01;;;; -   € ;   
2;;SPAR HU BICSKE;FRUBALMED;FRUBALMED;SPAR HU BICSKE ;MONDAY NIGHT; SERVETO ;;;;;;;;2024.08.29;LERIDA;GHU 001;KÓNYA;AA DD 061 / AA ID 878;€ 2 700;2024.09.01;;;; -   € ;   
1;;NECTARIN 10*1;FRUBALMED;GHU;ALDI;; PREMIUM ;;;;;;FRU001-2394/AL24;1;2024.08.29;LERIDA;GHU 001;KÓNYA;AA DD 061 / AA ID 878;€ 2 700;2024.09.01;;;; -   € ;   
1;;PEACH 10*1;FRUBALMED;GHU;ALDI;; PREMIUM ;;;;;;FRU001-2394/AL24;1;2024.08.29;LERIDA;GHU 001;KÓNYA;AA DD 061 / AA ID 878;€ 2 700;2024.09.01;;;; -   € ;   
;2;PEACH STD;FRUBALMED;GHU;ALDI;; CASAS ;;;;;;FRU001-2394/AL24;1;2024.08.29;LERIDA;GHU 001;KÓNYA;AA DD 061 / AA ID 878;€ 2 700;2024.09.01;;;; -   € ;   
5;;CELLERY 6*500 IFCO;HISPA;GHU;ALDI;THURSDAY UP BARCELONA;;;;€ 0,58;€ 10,00; € -   ;HIS001-038/012402047;2;2024.08.29;LERIDA;GHU 001;KÓNYA;AA DD 061 / AA ID 878;€ 2 700;2024.09.01;;;; -   € ;   
2;;CAPSICUM CAL. BICOLOR 10*500GR ;KOPFSALAT;GHU;ALDI;;;;;;;;;;2024.08.29;LERIDA;GHU 001;KÓNYA;AA DD 061 / AA ID 878;€ 2 700;2024.09.01;;;; -   € ;   
;1;CAPSICUM CAL. RED;KOPFSALAT;GHU;ALDI;;;;;;;;;;2024.08.29;LERIDA;GHU 001;KÓNYA;AA DD 061 / AA ID 878;€ 2 700;2024.09.01;;;; -   € ;   
;3;NEKTARIN LOOSE;KOPFSALAT;GHU;ALDI;;;;;;;;;;2024.08.29;LERIDA;GHU 001;KÓNYA;AA DD 061 / AA ID 878;€ 2 700;2024.09.01;;;; -   € ;   
;1;PEACH 1LAYER;KOPFSALAT;GHU;ALDI;;;;;;;;;;2024.08.29;LERIDA;GHU 001;KÓNYA;AA DD 061 / AA ID 878;€ 2 700;2024.09.01;;;; -   € ;   
;;PADRON 11#;KOPFSALAT;GHU;ALDI;;;;;;;;;;2024.08.29;LERIDA;GHU 001;KÓNYA;AA DD 061 / AA ID 878;€ 2 700;2024.09.01;;;; -   € ;   
12;;SPAR SLO;CASAS ROYES;CASAS ROYES;SPAR SLO;MONDAY MORNING; X ;;;;€ 0,00;  € -    ;SPAR;;2024.08.29;LERIDA ;LOG001;KÓNYA;TBT 654 / AA ID 869;€ 2 700;2024.09.02;-€ 3 000;;; -   € ;   
3;3;SPAR SLO ;FRUBALMED;FRUBALMED;SPAR SLO;MONDAY MORNING;;;;;€ 0,00;  € -    ;SPAR;;2024.08.29;LERIDA ;LOG001;KÓNYA;TBT 654 / AA ID 869;€ 2 700;2024.09.02;;;; -   € ;   
1;WQR;SPAR SLO;GLOBAL BERRY;GLOBAL BERRY;SPAR SLO;MONDAY MORNING; x ;;;;€ 0,00;  € -    ;SPAR;;2024.08.29;LERIDA ;LOG001;KÓNYA;TBT 654 / AA ID 869;€ 2 700;2024.09.02;;;; -   € ;   
13;;SPAR HU ÜLLŐ;CASAS ROYES;CASAS ROYES;SPAR HU ÜLLŐ;MONDAY NIGHT; x ;;;;;;;;2024.08.29;LERIDA ;LOG001;KÓNYA;TBT 654 / AA ID 869;€ 2 700;2024.09.02;;;; -   € ;   
2;;SPAR CRO 145;KOPFSALAT;KOPFSALAT;SPAR CRO 145;MONDAY MORNING;;;;;€ 0,00; € -   ;SPAR;;2024.08.30;BARCELONA;LOG002;KÓNYA;TBT 655 / AE EX 388;€ 2 700;2024.09.02;-€ 3 000;;; -   € ;   
9;;SPAR CRO;FRUBALMED;FRUBALMED;SPAR CRO;MONDAY MORNING;;;;;€ 0,00; € -   ;SPAR;;2024.08.30;BARCELONA;LOG002;KÓNYA;TBT 655 / AE EX 388;€ 2 700;2024.09.02;;;; -   € ;   
1;;SPAR CRO;GLOBAL BERRY;GLOBAL BERRY;SPAR CRO;MONDAY MORNING ;;;;;€ 0,00; € -   ;SPAR;;2024.08.30;BARCELONA;LOG002;KÓNYA;TBT 655 / AE EX 388;€ 2 700;2024.09.02;;;; -   € ;   
2;;SPAR HU BICSKE 259;KOPFSALAT;KOPFSALAT;SPAR HU BICSKE 259;MONDAY NIGHT;;;;;;;;;2024.08.30;BARCELONA;LOG002;KÓNYA;TBT 655 / AE EX 388;€ 2 700;2024.09.02;;;; -   € ;   
3;;SPAR HU ÜLLŐ 260;KOPFSALAT;KOPFSALAT;SPAR HU ÜLLŐ 260;MONDAY NIGHT;;;;;;;;;2024.08.30;BARCELONA;LOG002;KÓNYA;TBT 655 / AE EX 388;€ 2 700;2024.09.02;;;; -   € ;   
1;;SPAR HU ÜLLŐ  ;GLOBAL BERRY;GLOBAL BERRY;SPAR HU ÜLLŐ  ;MONDAY NIGHT;;;;;;;;;2024.08.30;BARCELONA;LOG002;KÓNYA;TBT 655 / AE EX 388;€ 2 700;2024.09.02;;;; -   € ;   
1;;SPAR HU BICSKE;GLOBAL BERRY;GLOBAL BERRY;SPAR HU BICSKE;MONDAY NIGHT;;;;;;;;;2024.08.30;BARCELONA;LOG002;KÓNYA;TBT 655 / AE EX 388;€ 2 700;2024.09.02;;;; -   € ;   
7;;SPAR HU ÜLLŐ  ;FRUBALMED;FRUBALMED;SPAR HU ÜLLŐ  ;MONDAY NIGHT;;;;;;;;;2024.08.30;BARCELONA;LOG002;KÓNYA;TBT 655 / AE EX 388;€ 2 700;2024.09.02;;;; -   € ;   
5,5;;SPAR HU BICSKE;FRUBALMED;FRUBALMED;SPAR HU BICSKE ;MONDAY NIGHT;;;;;;;;;2024.08.30;BARCELONA;LOG002;KÓNYA;TBT 655 / AE EX 388;€ 2 700;2024.09.02;;;; -   € ;   
1;;SPAR HU ÜLLŐ  ;FRUBALMED;FRUBALMED;SPAR HU ÜLLŐ  ;MONDAY NIGHT;;;;;;;;;2024.08.30;BARCELONA;LOG002;KÓNYA;TBT 655 / AE EX 388;€ 2 700;2024.09.02;;;; -   € ;   
0,5;;SPAR HU BICSKE;FRUBALMED;FRUBALMED;SPAR HU BICSKE ;MONDAY NIGHT;;;;;;;;;2024.08.30;BARCELONA;LOG002;KÓNYA;TBT 655 / AE EX 388;€ 2 700;2024.09.02;;;; -   € ;   
;7;SPAR HU ;FRUBALMED;FRUBALMED;SPAR HU  ;LEMON 9KG;;;;;;;;;2024.08.30;BARCELONA;GHU 002;BVT;SSY 561 / AE BY 551;€ 2 800;2024.09.01;-€ 3 000;;; -   € ;   
3,5;;SPAR HU ÜLLŐ;FRUBALMED;FRUBALMED;SPAR HU ÜLLŐ;MONDAY NIGHT;;;;;;;;;2024.08.30;BARCELONA;GHU 002;BVT;SSY 561 / AE BY 551;€ 2 800;2024.09.01;;;; -   € ;   
2,5;;SPAR HU BICSKE;FRUBALMED;FRUBALMED;SPAR HU BICSKE ;MONDAY NIGHT;;;;;;;;;2024.08.30;BARCELONA;GHU 002;BVT;SSY 561 / AE BY 551;€ 2 800;2024.09.01;;;; -   € ;   
4;;TOM. CHERRY PEAR TRIANGLE 12*250GR;ECOINVER;GHU;ALDI;FRIDAY UP BARCELONA;;;;€ 0,42;€ 10,00;€ 0,00;ECO001-EXP23-6633;1;2024.08.30;BARCELONA;GHU 002;BVT;SSY 561 / AE BY 551;€ 2 800;2024.09.01;;;; -   € ;   
1;;BIO COURGETTE 8*500GR;ECOINVER;GHU;ALDI;FRIDAY UP BARCELONA;;;;€ 0,75;€ 10,00;€ 0,00;ECO001-EXP23-6633;1;2024.08.30;BARCELONA;GHU 002;BVT;SSY 561 / AE BY 551;€ 2 800;2024.09.01;;;; -   € ;
1;;LEMON 10*400GR;HISPA;GHU;SPAR;FRIDAY UP BARCELONA;;;;€ 0,77;€ 10,00;€ 0,00;HIS002-038/012402048;2;2024.08.30;BARCELONA;GHU 002;BVT;SSY 561 / AE BY 551;€ 2 800;2024.09.01;;;; -   € ;
;1;CAPSICUM CAL. RED;KOPFSALAT;GHU;ALDI;;;;;;;;;;2024.08.30;BARCELONA;GHU 002;BVT;SSY 561 / AE BY 551;€ 2 800;2024.09.01;;;; -   € ;
;2;CAPSICUM KAPIA;KOPFSALAT;GHU;ALDI;;;;;;;;;;2024.08.30;BARCELONA;GHU 002;BVT;SSY 561 / AE BY 551;€ 2 800;2024.09.01;;;; -   € ;   
;1;APRICOTS;KOPFSALAT;GHU;ALDI;;;;;;;;;;2024.08.30;BARCELONA;GHU 002;BVT;SSY 561 / AE BY 551;€ 2 800;2024.09.01;;;; -   € ;   
