Total Palets;N° Euro Palets;N° Normal Palets;Products;Reference;Customer;Destination;Comment;Gross weight (kg);Price (EUR);Price BCN (EUR);Unit;Reloading/plt;Transport BCN/plt;Albarán N°;Car n.;Loading date;Loading place;Order number;Transport company;Plate number;Transport price;Arrival date; Total Transport cost ;Comment;To be invoiced;Transport Cost / product
1,00;1;;SYLVAN;SYLVAN;SYLVAN;ÁPORKA; MONDAY ;;;;;;;;;2025.09.01;DUNAHARASZTI;BEL001;KERMOR;AA HE 277 / WFC 666;€ 50 000;2025.09.01; € 50 000,00 ;;;50000,00
1,00;1;;SYLVAN;SYLVAN;SYLVAN;KECSKEMÉT;MONDAY;;;;;;;;;2025.09.01;DUNAHARASZTI;BEL002;KERMOR;AA LF 771 / AI BX 381;€ 90 000;2025.09.01; € 90 000,00 ;;;90000,00
5,00;5;;NECTARIN YELLOW LOOSE 7KG;KUSEK;GHU;ALDI;;;€ 1,65;;KG;€ 0,00; € -   ;KUS001-;;2025.08.29;GÖRÖGORSZÁG;H001;KUSEK;E 7584 KX / E 2755 EE;€ 0;2025.09.01; € -   ;;;0,00
10,00;10;;PEACH RED LOOSE 7 KG;KUSEK;GHU;ALDI;;;€ 1,58;;KG;€ 0,00; € -   ;KUS001-;;2025.08.29;GÖRÖGORSZÁG;H001;KUSEK;E 7584 KX / E 2755 EE;€ 0;2025.09.01; € -   ;;;0,00
12,00;12;;SPAR SLO;CASAS ROYES;CASAS ROYES;SPAR SLO;WEDNESDAY MORNING;;;;;€ 162,00; € 200,00 ;DG69;;2025.08.30;LERIDA;H002;KÓNYA;AA DD 056 / AA ID 876;€ 2 700;2025.09.02; € 3 000,00 ;;;1090,91
12,00;12;;SPAR HU ÜLL?;CASAS ROYES;CASAS ROYES;SPAR HU ÜLL?;WEDNESDAY NIGHT;;;;;;;;;2025.08.30;LERIDA;H002;KÓNYA;AA DD 056 / AA ID 876;€ 2 700;2025.09.02; € 3 000,00 ;;;1090,91
3,00;3;;PEAR LOOSE 12KG IFCO;FRUBALMED;GHU;ALDI;SATURDAY UP LERIDA; CASAS ;€ 1,05;;KG;;;FRU001-2644/AL25;;2025.08.30;LERIDA;H002;KÓNYA;AA DD 056 / AA ID 876;€ 2 700;2025.09.02; € 3 000,00 ;;;272,73
6,00;6;;NECTARIN YELLOW 10*1KG;FRUBALMED;GHU;ALDI;SATURDAY UP LERIDA; PREMIUM ;€ 1,20;;PZS;;;FRU001-2644/AL25;;2025.08.30;LERIDA;H002;KÓNYA;AA DD 056 / AA ID 876;€ 2 700;2025.09.02; € 3 000,00 ;;;545,45
1,00;1;;SPAR CRO;KOPFSALAT;KOPFSALAT;SPAR CRO 132;WEDNESDAY MORNING;;;;;€ 9,00; € 32,00 ;DG69;;2025.09.01;BARCELONA;GHU 001;KÓNYA;AI HK 735 / WFT 963;€ 2 700;2025.09.03; € 3 000,00 ;;;90,91
8,00;8;;SPAR CRO;CASAS ROYES;CASAS ROYES;SPAR CRO;WEDNESDAY MORNING;;;;;€ 72,00; € 256,00 ;DG69;;2025.09.01;BARCELONA;GHU 001;KÓNYA;AI HK 735 / WFT 963;€ 2 700;2025.09.03; € 3 000,00 ;;;727,27
6,00;6;;SPAR CRO;FRUBALMED;FRUBALMED;SPAR CRO; WEDNESDAY MORNING ;;;;;€ 0,00; € -   ;FRUBALMED;;2025.09.01;BARCELONA;GHU 001;KÓNYA;AI HK 735 / WFT 963;€ 2 700;2025.09.03; € 3 000,00 ;;;545,45
1,00;1;;SPAR CRO;GLOBAL BERRY;GLOBAL BERRY;SPAR CRO;WEDNESDAY MORNING;;;;;€ 9,00; € 32,00 ;DG69;;2025.09.01;BARCELONA;GHU 001;KÓNYA;AI HK 735 / WFT 963;€ 2 700;2025.09.03; € 3 000,00 ;;;90,91
1,00;1;;SPAR HU BICSKE;FRUBALMED;FRUBALMED;SPAR HU BICSKE ;WEDNESDAY NIGHT;;;;;;;;;2025.09.01;BARCELONA;GHU 001;KÓNYA;AI HK 735 / WFT 963;€ 2 700;2025.09.03; € 3 000,00 ;;;90,91
1,00;1;;SPAR HU BICSKE;GLOBAL BERRY;GLOBAL BERRY;SPAR HU BICSKE;WEDNESDAY NIGHT;;;;;;;;;2025.09.01;BARCELONA;GHU 001;KÓNYA;AI HK 735 / WFT 963;€ 2 700;2025.09.03; € 3 000,00 ;;;90,91
