Loading date;Loading place;Order number;Transporter;Plate number;Transport price;Arrival date;;K-B;B;T;Rakodva ;Comment;Invoice number;Amount HUF;Amount EUR;;;;;;;;;;;;;;;;;;;;;
2019.02.01;ALMERIA;GHO101;KESSEC;NTS 872 / XZR 598;€ 3 000;;?;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
2019.02.01;ALMERIA;GHO109;KUONI;PKK 427 / WDA 628;€ 3 200;;?;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
2019.02.01;BARCELONA;GHO111/T;WINDBAHN;NZF 292 / XXT 033;€ 2 400;;?;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
2019.02.01;VALENCIA;H036;AGESCO;E1417EE E 1783MH;€ 3 900;;?;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
2019.02.02;ALMERIA;;VASKÓ;NTS 863 / XYM 556;€ 3 400;;?;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
2019.02.02;BARCELONA;GHO110;WINDBAHN;NCV 676 / WAM 676;€ 2 400;;?;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
2019.02.04;BARCELONA;GHO112;Citrom 10kg;PKR 683 / WBA 124;€ 2 600;;?;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
2019.02.04;BARCELONA;LOG 012;2;SB 16 HRM  / R 2533 BCZ;€ 3 600;;?;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
2019.02.04;BARCELONA;H038;KUONI;PBT 204 / WCG 678;€ 2 600;;?;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
2019.02.05;BARCELONA;GHO114;WINDBAHN;MJF 505 / XYJ 196;€ 2 400;;?;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
2019.02.05;ALMERIA;GHO113;KUONI;MZD 729 / XZR 507;€ 3 500;;?;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
2019.02.06;ALMERIA;H040;KESSEC;MME 300 / XWX 039;€ 3 000;;?;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
2019.02.06;ALMERIA;GHU 115;WINDBAHN;NSE 942 / WBG 942;€ 3 400;;?;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
2019.02.07;VALENCIA;H041;KUONI;PUS 096 / WBZ 417;€ 3 200;;?;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
2019.02.07;ALMERIA;GHO118;KUONI;NUX 983 / WCW 983;€ 3 500;;?;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
2019.02.08;BARCELONA;GHO119;KUONI;MGU 904 / XWF 658;€ 2 600;;?;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
2019.02.08;BARCELONA;GHO117;VASKÓ;PMS 333 / XXN 642;€ 2 600;;?;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
2019.02.08;VALENCIA;H042;WINDBAHN;MOK 451 / XXY 291;€ 3 000;;?;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
2019.02.08;ALMERIA;H043;VASKÓ;PML 620 / WBN 860;€ 3 600;;?;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
2019.02.09;BARCELONA;GHO116;WINDBAHN;NSE 946 / WBG 946;€ 2 400;;?;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
2019.02.11;BARCELONA;GHO120;KOPFSALAT;SB 16 HRM  / R 2533 BCZ;€ 3 600;;?;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
2019.02.11;BARCELONA;LOG 013;KOPFSALAT;SB 88 HRM / R 8789 BBF;€ 3 600;nem jön be hozzánk;?;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
2019.02.12;BARCELONA;GHO 121;VASKÓ;PFZ 913 / WBB 494;€ 2 600;;?;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
2019.02.12;ALMERIA;H044;AGESCO;4599KPW / R2455BCK;€ 3 900;;?;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
